makerCode,makerName,modelCode,modelName,modelDetailCode,modelDetailName,modelDetailYearLabel,gradeCode,gradeName,gradeYearLabel,gradeDetailCode,gradeDetailName,gradeDetailYearLabel,leafLevel,cnt
"A2","기아","B42","레이","C233","레이","(11 ~ 17년)","C233D88888","등급없음","","C233D88888E99999","세부등급없음","","level5","2"
"A2","기아","B54","스포티지","C936","더 뉴스포티지R","(13 ~ 15년)","D10188","디젤 R2.0 2WD","","E24544","에이스","","level5","1"
"A2","기아","B37","K3","C938","K3 쿱","(13 ~ 16년)","D10192","1.6 터보 GDI","","E23073","노블레스","","level5","1"
"A2","기아","B57","쏘울","C1014","쏘울 EV","(14 ~ 18년)","D10412","EV 5인승","","E36025","경제형","","level5","1"
"A2","기아","B64","카니발","C1029","올 뉴카니발","(14 ~ 18년)","D10622","11인승 디젤","","E23788","럭셔리","","level5","4"
"A2","기아","B64","카니발","C1029","올 뉴카니발","(14 ~ 18년)","D10622","11인승 디젤","","E23789","프레스티지","","level5","3"
"A2","기아","B64","카니발","C1029","올 뉴카니발","(14 ~ 18년)","D10623","9인승 디젤","","E23793","노블레스","","level5","15"
"A2","기아","B64","카니발","C1029","올 뉴카니발","(14 ~ 18년)","D10623","9인승 디젤","","E35671","노블레스 스페셜","","level5","2"
"A2","기아","B64","카니발","C1029","올 뉴카니발","(14 ~ 18년)","D10623","9인승 디젤","","E23791","럭셔리","","level5","12"
"A2","기아","B64","카니발","C1029","올 뉴카니발","(14 ~ 18년)","D10623","9인승 디젤","","E23792","프레스티지","","level5","11"
"A2","기아","B64","카니발","C1029","올 뉴카니발","(14 ~ 18년)","D10624","하이리무진 디젤","","E23795","11인 프레스티지","","level5","1"
"A2","기아","B64","카니발","C1029","올 뉴카니발","(14 ~ 18년)","D10624","하이리무진 디젤","","E23797","9인 프레스티지","","level5","3"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10631","R2.0 2WD","","E23808","노블레스","","level5","6"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10631","R2.0 2WD","","E23809","노블레스 스페셜","","level5","5"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10631","R2.0 2WD","","E23807","프레스티지","","level5","11"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10632","R2.0 4WD","","E23811","노블레스","","level5","1"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10632","R2.0 4WD","","E23810","프레스티지","","level5","2"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10633","R2.2 2WD","","E23815","노블레스","","level5","1"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10633","R2.2 2WD","","E23816","노블레스 스페셜","","level5","2"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10633","R2.2 2WD","","E23814","프레스티지","","level5","1"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10634","R2.2 4WD","","E23819","노블레스 스페셜","","level5","4"
"A2","기아","B56","쏘렌토","C1031","올 뉴쏘렌토","(14 ~ 17년)","D10634","R2.2 4WD","","E23817","프레스티지","","level5","1"
"A2","기아","B40","K9","C1047","더 뉴K9(KH)","(14 ~ 18년)","D10873","3.3 GDI","","E24244","이그제큐티브","","level5","1"
"A2","기아","B40","K9","C1047","더 뉴K9(KH)","(14 ~ 18년)","D10873","3.3 GDI","","E24243","프레스티지","","level5","1"
"A2","기아","B40","K9","C1047","더 뉴K9(KH)","(14 ~ 18년)","D10874","3.8 GDI","","E24246","노블레스","","level5","1"
"A2","기아","B73","프라이드","C1050","더 뉴프라이드","(14 ~ 17년)","D10884","4도어 1.4 MPI","","E24259","스마트","","level5","1"
"A2","기아","B73","프라이드","C1050","더 뉴프라이드","(14 ~ 17년)","D10884","4도어 1.4 MPI","","E24261","트렌디","","level5","1"
"A2","기아","B73","프라이드","C1050","더 뉴프라이드","(14 ~ 17년)","D10887","5도어 1.6 GDI","","E24267","럭셔리","","level5","1"
"A2","기아","B46","모닝","C1053","더 뉴모닝","(15 ~ 17년)","D10911","밴","","E24316","고급형","","level5","1"
"A2","기아","B46","모닝","C1053","더 뉴모닝","(15 ~ 17년)","D10912","가솔린","","E24318","디럭스","","level5","4"
