code,name,rgb
"006001","갈대","#F2DFBC"
"006002","갈색","#964B00"
"006003","갈투","#6B3C0D"
"006004","검정","#000000"
"006005","검쥐","#5F5F5F"
"006006","검투","#4E4E4E"
"006007","겨자","#CBB810"
"006008","군청","#2B036A"
"006009","금색","#E5C721"
"006010","금투","#FFD700"
"006011","남색","#000080"
"006012","노란","#FFFF00"
"006013","녹색","#008000"
"006014","녹투","#055B05"
"006015","담녹","#00FF80"
"006016","명은","#D0D9E7"
"006017","밤색","#5B442B"
"006018","베이지","#F5F5dc"
"006019","벽돌","#930001"
"006020","보라","#8B00FF"
"006021","분홍","#FFC0CB"
"006022","빨강","#FF0000"
"006023","빨투","#BA0909"
"006024","연금","#FAFAD2"
"006025","연두","#81C147"
"006026","은색","#C0C0C0"
"006027","은투","#E0E0E0"
"006028","은하","#A6B2B0"
"006029","은회","#BCBCBC"
"006030","자주","#660099"
"006031","주황","#FF7F00"
"006032","쥐색","#808080"
"006033","진녹","#808080"
"006034","진주","#E2DFD2"
"006035","진청","#464964"
"006036","진투","#CDC7AD"
"006037","진회","#5F5F5F"
"006038","청색","#0B6DB7"
"006039","청옥","#2B7089"
"006040","청투","#11588D"
"006041","청회","#D3D3D3"
"006042","카키","#6D6A0A"
"006043","하늘","#79EDFF"
"006044","황토","#C68A12"
"006045","회색","#808080"
"006046","회투","#676767"
"006047","흑장","#522728"
"006048","흰색","#FFFFFFF"
"006049","흰투","#F1F1F1"
"006050","남투","#525281"
